"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP01b","All Crime per 1000 population","16.90 Number","Rate","2019/2020_Q1","2019-04-01","2019-06-30","Monthly"
"CSP01b","All Crime per 1000 population","66.00 Number","Rate","2019/2020","2019-04-01","2020-03-31","Monthly"
"CSP01b","All Crime per 1000 population","5.50 Number","Rate","2019/2020_Apr","2019-04-01","2019-04-30","Monthly"
"CSP01b","All Crime per 1000 population","5.80 Number","Rate","2019/2020_May","2019-05-01","2019-05-31","Monthly"
"CSP01b","All Crime per 1000 population","5.60 Number","Rate","2019/2020_Jun","2019-06-01","2019-06-30","Monthly"
"CSP01b","All Crime per 1000 population","16.90 Number","Rate","2019/2020_Q2","2019-07-01","2019-09-30","Monthly"
"CSP01b","All Crime per 1000 population","5.70 Number","Rate","2019/2020_Jul","2019-07-01","2019-07-31","Monthly"
"CSP01b","All Crime per 1000 population","5.60 Number","Rate","2019/2020_Aug","2019-08-01","2019-08-31","Monthly"
"CSP01b","All Crime per 1000 population","5.60 Number","Rate","2019/2020_Sep","2019-09-01","2019-09-30","Monthly"
"CSP01b","All Crime per 1000 population","16.90 Number","Rate","2019/2020_Q3","2019-10-01","2019-12-31","Monthly"
"CSP01b","All Crime per 1000 population","5.80 Number","Rate","2019/2020_Oct","2019-10-01","2019-10-31","Monthly"
"CSP01b","All Crime per 1000 population","5.60 Number","Rate","2019/2020_Nov","2019-11-01","2019-11-30","Monthly"
"CSP01b","All Crime per 1000 population","5.50 Number","Rate","2019/2020_Dec","2019-12-01","2019-12-31","Monthly"
"CSP01b","All Crime per 1000 population","15.30 Number","Rate","2019/2020_Q4","2020-01-01","2020-03-31","Monthly"
"CSP01b","All Crime per 1000 population","5.20 Number","Rate","2019/2020_Jan","2020-01-01","2020-01-31","Monthly"
"CSP01b","All Crime per 1000 population","5.00 Number","Rate","2019/2020_Feb","2020-02-01","2020-02-29","Monthly"
"CSP01b","All Crime per 1000 population","5.10 Number","Rate","2019/2020_Mar","2020-03-01","2020-03-31","Monthly"
"CSP01b","All Crime per 1000 population","3.30 Number","Rate","2020/2021_Apr","2020-04-01","2020-04-30","Monthly"
"CSP01b","All Crime per 1000 population","12.20 Number","Rate","2020/2021_Q1","2020-04-01","2020-06-30","Monthly"
"CSP01b","All Crime per 1000 population","4.30 Number","Rate","2020/2021_May","2020-05-01","2020-05-31","Monthly"
"CSP01b","All Crime per 1000 population","4.60 Number","Rate","2020/2021_Jun","2020-06-01","2020-06-30","Monthly"
"CSP01b","All Crime per 1000 population","14.20 Number","Rate","2020/2021_Q2","2020-07-01","2020-09-30","Monthly"
"CSP01b","All Crime per 1000 population","4.50 Number","Rate","2020/2021_Jul","2020-07-01","2020-07-31","Monthly"
"CSP01b","All Crime per 1000 population","4.60 Number","Rate","2020/2021_Aug","2020-08-01","2020-08-31","Monthly"
"CSP01b","All Crime per 1000 population","5.10 Number","Rate","2020/2021_Sep","2020-09-01","2020-09-30","Monthly"
"CSP01b","All Crime per 1000 population","5.00 Number","Rate","2020/2021_Oct","2020-10-01","2020-10-31","Monthly"
"CSP01b","All Crime per 1000 population","4.40 Number","Rate","2020/2021_Nov","2020-11-01","2020-11-30","Monthly"
