"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV4","Number of domestic violence incidents where children present","447.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","46.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","43.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","107.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","40.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","38.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","29.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","37.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","105.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","41.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","27.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","39.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","106.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","30.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"DOMV4","Number of domestic violence incidents where children present","37.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","34.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","417.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","105.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","43.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","28.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","103.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","42.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","33.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","28.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","126.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","52.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","31.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","43.00 Number","Number","2012/2013_Dec","2012-12-01","2012-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","27.00 Number","Number","2012/2013_Jan","2013-01-01","2013-01-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","83.00 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","25.00 Number","Number","2012/2013_Feb","2013-02-01","2013-02-28","Monthly"
"DOMV4","Number of domestic violence incidents where children present","31.00 Number","Number","2012/2013_Mar","2013-03-01","2013-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","106.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","30.00 Number","Number","2013/2014_Apr","2013-04-01","2013-04-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","516.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","35.00 Number","Number","2013/2014_May","2013-05-01","2013-05-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","41.00 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","125.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","48.00 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","42.00 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","35.00 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","42.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","147.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","57.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","48.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","45.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","138.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","37.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"DOMV4","Number of domestic violence incidents where children present","56.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","173.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","660.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
