"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"MARAC01","Number of MARAC cases Discussed","56.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","180.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","24.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","20.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","38.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","17.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","18.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","45.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","8.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","41.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"MARAC01","Number of MARAC cases Discussed","12.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","27.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","160.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","6.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","35.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","7.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","51.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","22.00 Number","Number","2012/2013_Dec","2012-12-01","2012-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","14.00 Number","Number","2012/2013_Jan","2013-01-01","2013-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","47.00 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","14.00 Number","Number","2012/2013_Feb","2013-02-01","2013-02-28","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2012/2013_Mar","2013-03-01","2013-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2013/2014_Apr","2013-04-01","2013-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","43.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","188.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","8.00 Number","Number","2013/2014_May","2013-05-01","2013-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","20.00 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","13.00 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","47.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","21.00 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","13.00 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","46.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","8.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","52.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","21.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"MARAC01","Number of MARAC cases Discussed","12.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","12.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","56.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","176.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","24.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","20.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","38.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","17.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","18.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","45.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","19.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","8.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","13.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","37.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","23.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","56.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","209.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","18.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","22.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","58.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","21.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","26.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","48.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","13.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","20.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","47.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","13.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"MARAC01","Number of MARAC cases Discussed","14.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
