"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"BYS131","% of residents who agree that York is a safe city to live in, relatively free from crime and violence - Agree (All Responses)","N/A","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"BYS131","% of residents who agree that York is a safe city to live in, relatively free from crime and violence - Agree (All Responses)","74.00 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"BYS131","% of residents who agree that York is a safe city to live in, relatively free from crime and violence - Agree (All Responses)","80.00 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"BYS131","% of residents who agree that York is a safe city to live in, relatively free from crime and violence - Agree (All Responses)","NC","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"BYS131","% of residents who agree that York is a safe city to live in, relatively free from crime and violence - Agree (All Responses)","NC","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
