"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP15","Overall Violence (Violence Against Person Def.)","178.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","169.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","207.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","190.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","531.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","2254.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","170.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","171.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","580.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","192.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","197.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","191.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","590.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","208.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","176.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","206.00 Number","Number","2012/2013_Dec","2012-12-01","2012-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","553.00 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","207.00 Number","Number","2012/2013_Jan","2013-01-01","2013-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","144.00 Number","Number","2012/2013_Feb","2013-02-01","2013-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","202.00 Number","Number","2012/2013_Mar","2013-03-01","2013-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","504.00 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","1938.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","148.00 Number","Number","2013/2014_Apr","2013-04-01","2013-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","177.00 Number","Number","2013/2014_May","2013-05-01","2013-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","179.00 Number","Number","2013/2014_Jun","2013-06-01","2013-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","504.00 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","186.00 Number","Number","2013/2014_Jul","2013-07-01","2013-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","178.00 Number","Number","2013/2014_Aug","2013-08-01","2013-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","140.00 Number","Number","2013/2014_Sep","2013-09-01","2013-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","161.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","479.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","164.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","154.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","167.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","451.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","138.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","146.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","174.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","524.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","2130.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","172.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","178.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","584.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
